Time (s),Satellite ID,Longitude (deg),X (km),Y (km),Z (km),VX,VY,VZ,ideal VX,ideal VY,ideal VZ,ideal x,ideal_y,ideal_z,Status,Sun X (km),Sun Y (km),Sun Z (km),Moon X (km),Moon Y (km),Moon Z (km)
52110,01,45.0,-5574.630228906825,-42129.4636994526,799.3492562810128,3.522017178244322,-1.7319905660315098,-0.01022411793449929,3.521727845934688,-1.7341775211746016,-0.01018261918228315,-5301.913133221859,-41822.271173715206,0.0,non-stationkeeping,149589819.3197478,1552054.7216894685,0.0,231621.62126291922,306781.3302069355,0.0
52120,01,45.0,-5539.051038266742,-42145.923157171026,799.99211829963,3.5582063125380547,-1.643759764390014,0.06424470394632961,3.557919064008359,-1.6459457718421826,0.06428620186171267,-5271.406660556343,-41826.12725102627,0.0,non-stationkeeping,149589816.22933117,1552352.5530110723,0.0,231613.45558365664,306787.49516986107,0.0
52130,01,45.0,-5504.241900604253,-42162.68051996128,801.6850823868524,3.4811989651974886,-1.673551272268105,0.16925485854650352,3.480913766248897,-1.6757362790252144,0.16929640872224758,-5240.897383392472,-41829.96107596504,0.0,non-stationkeeping,149589813.13832158,1552650.3843265225,0.0,231605.28974030417,306793.65991543856,0.0
52140,01,45.0,-5468.029780714327,-42179.11969923531,803.9618377427447,3.6214950781276394,-1.6417338673764839,0.22763390170104275,3.6212119889926004,-1.6439179274030293,0.22767553558923415,-5210.38531796189,-41833.772646491816,0.0,non-stationkeeping,149589810.04671898,1552948.2156358184,0.0,231597.12373286756,306799.82444366365,0.0
52150,01,45.0,-5432.477893066341,-42195.901642590805,806.6860037840829,3.5554697723719664,-1.6760112757912866,0.2723748649127848,3.555188764798607,-1.6781943355500817,0.27241660413382024,-5179.870480497579,-41837.561960578794,0.0,non-stationkeeping,149589806.9545234,1553246.0469389576,0.0,231588.95756135267,306805.98875453195,0.0
52160,01,45.0,-5396.498444131693,-42213.041382309406,809.2963819455762,3.5982237942794684,-1.7117919442119653,0.26099597865603286,3.597944893464739,-1.713973971860468,0.2610378161493218,-5149.352887234107,-41841.329016209966,0.0,non-stationkeeping,149589803.8617349,1553543.8782359404,0.0,231580.79122576522,306812.1528480392,0.0
52170,01,45.0,-5360.219674141341,-42229.875721825425,810.2175956396502,3.628153787801687,-1.6812529190525423,0.09207952008296598,3.627876999035194,-1.6834339516015793,0.09212136940739962,-5118.832554407469,-41845.07381138117,0.0,non-stationkeeping,149589800.76835334,1553841.7095267642,0.0,231572.624726111,306818.3167241809,0.0
52180,01,45.0,-5323.766202972797,-42247.161653371855,809.5602624439248,3.6456217797045527,-1.7264131593191077,-0.0657750979559952,3.6453471168543796,-1.728593154643347,-0.06573331957253832,-5088.309498255119,-41848.79634410011,0.0,non-stationkeeping,149589797.67437884,1554139.5408114293,0.0,231564.4580623958,306824.4803829527,0.0
52190,01,45.0,-5287.689084245872,-42263.830177335374,808.230709035248,3.607984443090205,-1.664673385901682,-0.13299701535042588,3.607711872692497,-1.666852396352173,-0.13295534086768232,-5057.783735015961,-41852.49661238631,0.0,non-stationkeeping,149589794.57981136,1554437.3720899334,0.0,231556.29123462545,306830.6438243503,0.0
52200,01,45.0,-5250.95296347907,-42280.591329903385,805.64103087434,3.673882523694691,-1.6739372289799508,-0.25900932184818815,3.673612076680271,-1.676115256801298,-0.25896781609079367,-5027.255280930336,-41856.17461427116,0.0,non-stationkeeping,149589791.4846509,1554735.2033622756,0.0,231548.12424280567,306836.8070483693,0.0
52210,01,45.0,-5214.123271997158,-42298.27331144036,803.4587746741479,3.6832374526228895,-1.7660212052833695,-0.21826697553856042,3.6829691481912294,-1.768198153697206,-0.21822562001921422,-4996.724152240057,-41859.830347797884,0.0,non-stationkeeping,149589788.38889748,1555033.0346284548,0.0,231539.9570869423,306842.97005500534,0.0
52220,01,45.0,-5177.550828767061,-42315.9796297871,800.2986476525322,3.6575105004938444,-1.7684559747285176,-0.3160538571978749,3.6572443230096403,-1.7706318346736825,-0.31601270216157595,-4966.190365188247,-41863.46381102155,0.0,non-stationkeeping,149589785.29255107,1555330.86588847,0.0,231531.7897670411,306849.132844254,0.0
52230,01,45.0,-5140.947777259258,-42335.14451920428,797.2921019707302,3.660569175972216,-1.9143143212027742,-0.3006955266996089,3.660305150780237,-1.9164889417184872,-0.3006545681802032,-4935.653936019592,-41867.07500200909,0.0,non-stationkeeping,149589782.1956117,1555628.6971423195,0.0,231523.62228310786,306855.29541611107,0.0
52240,01,45.0,-5105.3165075176385,-42354.55883769838,794.9370450879247,3.56338889356493,-1.9392585173535228,-0.2355464829104147,3.5631269741619263,-1.9414318494100629,-0.23550568828054036,-4905.114880980033,-41870.663918839266,0.0,non-stationkeeping,149589779.09807932,1555926.5283900027,0.0,231515.4546351484,306861.457770572,0.0
52250,01,45.0,-5071.250799680403,-42373.238900648554,792.8034109558273,3.406830691049513,-1.8658342107985717,-0.21340405705897564,3.406570783723517,-1.8680062950174448,-0.21336341320973756,-4874.573216317025,-41874.2305596027,0.0,non-stationkeeping,149589775.99995396,1556224.3596315181,0.0,231507.28682316846,306867.6199076325,0.0
