Time (s),Satellite ID,Longitude (deg),X (km),Y (km),Z (km),VX,VY,VZ,ideal VX,ideal VY,ideal VZ,ideal x,ideal_y,ideal_z,Status
360,01,45.0,28873.35454874323,30709.016892035528,126.83389480022609,-3.089006159773151,2.2777131161559754,0.9274592995816663,-3.087469355900928,2.279347625837119,0.9274660509085252,29016.567066493055,30581.88164053531,0,non-stationkeeping
370,01,45.0,28842.644080461305,30731.117973128104,134.74209048049403,-3.072582532302759,2.208471853388066,0.7908123932504475,-3.071046828192781,2.2101081092576353,0.7908195680267943,28994.252998114905,30603.03811848269,0,non-stationkeeping
380,01,45.0,28812.083961874538,30753.515210203146,143.5700626170521,-3.057546431148308,2.23808573020862,0.8827895663362296,-3.056011858676831,2.2397237075042034,0.8827972136558058,28971.92350418927,30624.178314975332,0,non-stationkeeping
390,01,45.0,28779.93743745764,30774.946426542952,152.48796795946015,-3.2161859885972692,2.1414817810246447,0.8917824082668842,-3.2146524416896676,2.1431216339805714,0.8917905342408048,28949.578596595897,30645.302218766203,0,non-stationkeeping
400,01,45.0,28748.525645188816,30795.153289846236,162.73328694576907,-3.1427118247002754,2.019044624353472,1.0245232225885905,-3.141179226882388,2.020686330328153,1.024531898630893,28927.218287222742,30666.409818616954,0,non-stationkeeping
410,01,45.0,28716.71861001001,30816.63584061132,172.9312345389549,-3.1822350682414626,2.146611529695585,1.0197855356740164,-3.1807035178805902,2.1482550765086446,1.0197947593185823,28904.842587965955,30687.501103297895,0,non-stationkeeping
420,01,45.0,28683.869464163006,30837.085959504282,182.15794965886636,-3.2864451871962577,2.043366387372868,0.9226617911136878,-3.28491458470039,2.045011889296237,0.9226715119911448,28882.45151072988,30708.576061588024,0,non-stationkeeping
430,01,45.0,28651.378513077827,30857.58174530655,191.59151679922311,-3.2506247467279725,2.0479311559065154,0.9433464845888871,-3.2490951085178406,2.0495785802269215,0.9433567140356766,28860.04506742704,30729.634682275027,0,non-stationkeeping
440,01,45.0,28619.214840392116,30877.49527251205,201.83867602629275,-3.217895976687657,1.9897033839205827,1.02470514059277,-3.2163672685708677,1.991352720550013,1.0247159227069633,28837.62326997812,30750.676954155275,0,non-stationkeeping
450,01,45.0,28587.408901700754,30896.570559917473,210.9897466728419,-3.1821217023523083,1.9058774944066552,0.9150957876129093,-3.1805938691363274,1.9075287405423929,0.9151070646549168,28815.186130311995,30771.70286603384,0,non-stationkeeping
460,01,45.0,28554.79264982597,30916.05495964395,220.37122079208908,-3.2631521245967896,1.9467867680806363,0.9381356269209712,-3.261625187478398,1.9484399726475774,0.9381474119247171,28792.73366036568,30792.7124067245,0,non-stationkeeping
470,01,45.0,28521.73553215365,30935.511708396072,231.9771695993046,-3.307237812950493,1.9440196797593514,1.1605824679272168,-3.305711767231956,1.9456748752123432,1.1605948807215531,28770.26587208437,30813.705565049746,0,non-stationkeeping
480,01,45.0,28489.17367469392,30953.540424780753,245.0068673079631,-3.2577109983670596,1.8012144474249852,1.3029566527080136,-3.256185745972947,1.8028716384679226,1.302969770865849,28747.782777421387,30834.682329840765,0,non-stationkeeping
490,01,45.0,28455.916095306056,30971.07515649915,257.76307900585465,-3.3272824462981965,1.7518139148198504,1.2756073592556887,-3.325757938786465,1.7534731718398406,1.2756211697891544,28725.284388338212,30855.642689937493,0,non-stationkeeping
500,01,45.0,28422.85045541764,30988.737159044504,268.8961240204447,-3.3080877332691867,1.764538951863223,1.1132900848936922,-3.306563988841597,1.7662002545352031,1.113304501459003,28702.77071680445,30876.586634188578,0,non-stationkeeping
510,01,45.0,28389.96404777941,31006.72475916939,281.6164410523589,-3.2901637091900358,1.797096692675781,1.2720165950770985,-3.288640763822979,1.798760012488625,1.2720317031914206,28680.241774797854,30897.514151451403,0,non-stationkeeping
520,01,45.0,28357.42745658365,31024.02234223738,291.9986582927754,-3.255181310858325,1.7280929745569673,1.0382060487349907,-3.253659119576047,1.729758306798872,1.0382217240416558,28657.697574304286,30918.4252305921,0,non-stationkeeping
530,01,45.0,28324.69655830644,31041.820103657297,302.46132373399456,-3.2746112235268714,1.778108800676118,1.0462502968817387,-3.2730898277209524,1.779776141991884,1.046266544121915,28635.138127317732,30939.31986048553,0,non-stationkeeping
540,01,45.0,28292.552250335742,31060.965081913233,312.85867417711677,-3.2159512728800395,1.912828570463693,1.039718229640063,-3.214430797069929,1.9144978255937393,1.0397350443122184,28612.56344584029,30960.19803001531,0,non-stationkeeping
550,01,45.0,28260.939455403048,31079.77081624006,323.9240107891507,-3.162799060523318,1.8789022977214749,1.1065162427617048,-3.161279493269416,1.88057343268255,1.1065336612033971,28589.973541882155,30981.05972807383,0,non-stationkeeping
560,01,45.0,28228.88161185404,31099.486924044035,334.5246238835134,-3.2073029444932626,1.9699377633854585,1.0600433121230441,-3.2057843549005867,1.9716107803976808,1.0600613094362727,28567.368427461635,31001.90494356223,0,non-stationkeeping
570,01,45.0,28195.737608321306,31118.966407825974,344.74018360321605,-3.315918000134074,1.9462733858835424,1.0215374147883276,-3.3144003532737516,1.9479483781940787,1.021555971970262,28544.748114605118,31022.733665390417,0,non-stationkeeping
